station_id,name,year_installed,year_removed,soil_type,elevation_m
1,Sky Mtn,2013,2016,Loam,2550
2,Smuggler Mtn,2013,2016,Loam,2730
4,Brush Creek a,2014,2016,Clay,2370
5,Glenwood Springs,2015,2016,Clay Loam,1890
